age,total_purchase,account_manager,years,num_sites,churn,state,purchase_per_year,sites_per_year,purchase_per_site
36.0,13472.79,1,4.77,8.0,0,AA,2824.4842767295604,1.6771488469601679,1684.09875
49.0,9805.7,0,4.86,9.0,0,CA,2017.633744855967,1.8518518518518516,1089.5222222222224
31.0,11743.24,0,5.3,6.0,0,WV,2215.7056603773585,1.1320754716981132,1957.2066666666667
30.0,12788.37,0,4.31,10.0,0,AE,2967.1392111368914,2.320185614849188,1278.837
40.0,5218.49,0,3.8,10.0,0,AS,1373.286842105263,2.6315789473684212,521.8489999999999
44.0,10526.18,0,7.67,9.0,0,ME,1372.3833116036506,1.1734028683181226,1169.5755555555556
43.0,8583.5,1,4.39,10.0,0,SD,1955.239179954442,2.277904328018223,858.35
39.0,11008.0,0,4.42,8.0,0,AL,2490.4977375565613,1.8099547511312217,1376.0
42.0,9625.89,1,5.84,9.0,0,MI,1648.2688356164383,1.5410958904109588,1069.5433333333333
46.0,11119.11,1,3.51,14.0,0,FM,3167.8376068376074,3.988603988603989,794.2221428571429
46.0,9982.55,1,4.75,7.0,0,AR,2101.5894736842106,1.4736842105263157,1426.0785714285714
39.0,11159.46,0,3.95,11.0,0,OH,2825.1797468354425,2.7848101265822782,1014.4963636363635
36.0,12668.26,0,4.54,12.0,0,MI,2790.3656387665196,2.643171806167401,1055.6883333333333
38.0,9087.9,0,2.7,10.0,0,MD,3365.8888888888887,3.7037037037037033,908.79
41.0,9091.21,0,4.55,11.0,0,VA,1998.0681318681318,2.417582417582418,826.4736363636363
44.0,8755.02,1,5.71,8.0,0,VA,1533.2784588441332,1.4010507880910683,1094.3775
37.0,6362.93,1,6.8,7.0,0,WI,935.725,1.0294117647058825,908.99
48.0,13189.35,0,3.25,7.0,0,PA,4058.2615384615387,2.1538461538461537,1884.1928571428573
47.0,10584.71,0,6.05,8.0,0,WI,1749.5388429752065,1.322314049586777,1323.08875
49.0,9853.64,1,6.95,6.0,0,AS,1417.7899280575539,0.8633093525179856,1642.2733333333333
36.0,10448.09,0,4.13,8.0,0,AP,2529.8038740920097,1.937046004842615,1306.01125
42.0,11473.38,1,2.87,10.0,0,SC,3997.6933797909405,3.484320557491289,1147.338
39.0,8986.28,0,4.36,8.0,0,MS,2061.0733944954127,1.8348623853211008,1123.285
33.0,13314.19,0,5.45,9.0,0,NJ,2442.970642201835,1.6513761467889907,1479.3544444444444
41.0,9918.77,0,4.02,10.0,0,AA,2467.3557213930353,2.4875621890547266,991.8770000000001
45.0,12783.21,1,4.47,10.0,0,CA,2859.778523489933,2.237136465324385,1278.321
46.0,7026.18,0,6.3,8.0,0,OR,1115.2666666666667,1.2698412698412698,878.2725
48.0,9706.88,0,6.45,8.0,0,DE,1504.9426356589145,1.2403100775193798,1213.36
42.0,10236.95,1,5.71,8.0,0,CA,1792.810858143608,1.4010507880910683,1279.61875
33.0,13157.08,1,5.04,10.0,0,FL,2610.531746031746,1.9841269841269842,1315.708
44.0,8588.46,1,7.77,8.0,0,IL,1105.3359073359072,1.0296010296010296,1073.5575
48.0,7778.73,1,4.18,8.0,0,AE,1860.94019138756,1.9138755980861246,972.34125
42.0,10268.0,0,5.33,6.0,0,NE,1926.4540337711069,1.125703564727955,1711.3333333333333
34.0,9845.35,0,4.82,7.0,0,MH,2042.603734439834,1.4522821576763485,1406.4785714285715
37.0,11912.13,0,5.67,10.0,0,VT,2100.904761904762,1.7636684303350971,1191.213
33.0,12115.91,1,5.5,9.0,0,AA,2202.8927272727274,1.6363636363636365,1346.2122222222222
35.0,10801.37,1,5.64,11.0,0,ND,1915.1365248226953,1.950354609929078,981.9427272727273
53.0,13173.82,0,5.26,7.0,0,ID,2504.5285171102664,1.3307984790874525,1881.9742857142858
49.0,9940.76,0,5.72,11.0,0,PW,1737.895104895105,1.9230769230769231,903.7054545454546
46.0,12261.79,1,3.72,10.0,0,ME,3296.180107526882,2.6881720430107525,1226.179
47.0,12987.28,0,5.86,10.0,0,AP,2216.259385665529,1.706484641638225,1298.728
51.0,4523.91,0,3.98,8.0,0,IL,1136.6608040201004,2.0100502512562812,565.48875
41.0,6172.23,0,4.28,8.0,0,AR,1442.109813084112,1.8691588785046729,771.52875
49.0,6283.67,0,6.35,11.0,0,ND,989.5543307086615,1.7322834645669292,571.2427272727273
48.0,7232.06,1,4.9,6.0,0,VA,1475.930612244898,1.2244897959183672,1205.3433333333335
35.0,6683.82,1,7.82,7.0,0,VT,854.7084398976981,0.8951406649616368,954.8314285714285
39.0,9408.96,1,3.83,4.0,0,MA,2456.647519582245,1.0443864229765012,2352.24
47.0,8291.93,0,4.47,7.0,0,RI,1855.0178970917227,1.5659955257270695,1184.5614285714287
41.0,10017.82,0,6.0,8.0,0,WY,1669.6366666666665,1.3333333333333333,1252.2275
38.0,7320.49,0,1.58,10.0,0,VI,4633.221518987341,6.329113924050633,732.049
43.0,8817.29,0,3.19,8.0,0,RI,2764.0407523510976,2.5078369905956115,1102.16125
36.0,8948.86,0,7.37,10.0,0,IL,1214.2279511533243,1.3568521031207599,894.8860000000001
45.0,3689.95,1,5.01,11.0,0,PR,736.5169660678642,2.19560878243513,335.45
52.0,8185.22,1,5.76,8.0,0,WI,1421.045138888889,1.3888888888888888,1023.1525
43.0,9347.89,1,4.17,8.0,0,KS,2241.7002398081536,1.9184652278177459,1168.48625
42.0,12888.85,1,4.79,8.0,0,SD,2690.782881002088,1.6701461377870563,1611.10625
41.0,5387.41,1,4.17,8.0,0,UT,1291.9448441247002,1.9184652278177459,673.42625
38.0,7605.49,0,6.99,10.0,0,IN,1088.0529327610873,1.4306151645207439,760.549
45.0,8480.93,0,4.57,9.0,0,NJ,1855.7833698030634,1.9693654266958422,942.3255555555556
29.0,11274.46,1,4.43,8.0,0,AS,2545.024830699774,1.8058690744920995,1409.3075
43.0,13116.73,0,3.57,9.0,0,AA,3674.15406162465,2.5210084033613445,1457.4144444444444
32.0,7896.65,0,7.12,8.0,0,WY,1109.0800561797753,1.1235955056179776,987.08125
36.0,12086.92,1,5.52,6.0,0,AA,2189.6594202898555,1.0869565217391306,2014.4866666666667
42.0,10500.77,0,5.68,6.0,0,IN,1848.7271126760565,1.0563380281690142,1750.1283333333333
38.0,7673.0,1,7.42,7.0,0,MA,1034.0970350404314,0.9433962264150944,1096.142857142857
42.0,14242.7,0,5.79,10.0,0,AL,2459.879101899827,1.7271157167530224,1424.27
40.0,6590.63,1,4.52,7.0,0,CA,1458.103982300885,1.5486725663716816,941.5185714285715
37.0,15070.32,0,6.91,6.0,0,LA,2180.943560057887,0.8683068017366136,2511.72
37.0,13717.41,1,6.5,7.0,0,NJ,2110.3707692307694,1.0769230769230769,1959.6299999999999
41.0,9219.95,1,5.21,10.0,0,UT,1769.6641074856047,1.9193857965451055,921.9950000000001
65.0,10430.5,0,6.5,6.0,0,MS,1604.6923076923076,0.9230769230769231,1738.4166666666667
45.0,5200.06,1,6.33,8.0,0,PR,821.4944707740917,1.263823064770932,650.0075
43.0,11197.42,1,3.48,9.0,0,WV,3217.6494252873563,2.586206896551724,1244.1577777777777
45.0,13650.64,0,4.96,8.0,0,NC,2752.1451612903224,1.6129032258064517,1706.33
42.0,7351.72,0,5.26,9.0,0,HI,1397.6653992395438,1.7110266159695817,816.8577777777778
33.0,10306.21,1,6.36,9.0,0,NV,1620.4732704402513,1.4150943396226414,1145.1344444444444
37.0,10147.22,0,6.63,8.0,0,SC,1530.5007541478128,1.2066365007541477,1268.4025
48.0,10528.71,0,5.0,9.0,0,NH,2105.7419999999997,1.8,1169.8566666666666
41.0,10054.6,1,4.93,6.0,0,AE,2039.4726166328603,1.2170385395537526,1675.7666666666667
45.0,8595.24,0,6.4,10.0,0,AK,1343.00625,1.5625,859.524
45.0,6681.61,1,5.6,8.0,0,PR,1193.1446428571428,1.4285714285714286,835.20125
29.0,10203.18,1,5.82,8.0,0,TN,1753.1237113402062,1.3745704467353952,1275.3975
42.0,10427.12,0,6.64,10.0,0,MN,1570.3493975903616,1.5060240963855422,1042.712
39.0,10388.38,0,5.1,7.0,0,AE,2036.9372549019608,1.3725490196078431,1484.0542857142857
39.0,9353.38,0,4.06,7.0,0,AA,2303.7881773399017,1.7241379310344829,1336.1971428571428
42.0,11756.06,0,4.88,8.0,0,NC,2409.02868852459,1.639344262295082,1469.5075
40.0,12295.95,1,5.69,11.0,0,AZ,2160.9753954305797,1.9332161687170473,1117.8136363636365
40.0,7819.46,1,4.77,9.0,0,TN,1639.2997903563944,1.886792452830189,868.8288888888889
34.0,10674.92,1,3.09,9.0,0,AA,3454.666666666667,2.912621359223301,1186.1022222222223
37.0,10989.43,0,6.62,10.0,0,MS,1660.0347432024168,1.5105740181268883,1098.943
46.0,7504.79,0,5.98,8.0,0,MD,1254.9816053511704,1.3377926421404682,938.09875
46.0,9306.05,0,5.35,7.0,0,MN,1739.448598130841,1.3084112149532712,1329.435714285714
37.0,11523.63,1,3.56,7.0,0,AL,3236.9747191011234,1.9662921348314606,1646.232857142857
44.0,9613.84,1,4.38,8.0,0,AP,2194.9406392694063,1.8264840182648403,1201.73
48.0,13298.38,0,2.99,8.0,0,NC,4447.618729096989,2.6755852842809364,1662.2975
37.0,8614.75,0,5.03,9.0,0,DC,1712.6739562624255,1.7892644135188867,957.1944444444445
45.0,9951.97,1,4.4,6.0,0,VA,2261.8113636363632,1.3636363636363635,1658.6616666666666
46.0,11343.33,1,3.69,8.0,0,PW,3074.0731707317073,2.1680216802168024,1417.91625
38.0,10026.44,1,6.85,9.0,0,NV,1463.7138686131389,1.3138686131386863,1114.048888888889
38.0,8473.65,1,4.78,7.0,0,NV,1772.7301255230125,1.4644351464435146,1210.5214285714285
42.0,12989.06,0,5.0,10.0,0,AE,2597.812,2.0,1298.906
38.0,12893.47,1,5.69,5.0,0,AR,2265.98769771529,0.8787346221441125,2578.694
34.0,7324.32,0,6.69,10.0,0,NH,1094.8161434977578,1.4947683109118086,732.432
40.0,8530.23,1,3.66,10.0,0,IN,2330.6639344262294,2.73224043715847,853.0229999999999
46.0,10675.86,0,3.33,7.0,0,UT,3205.963963963964,2.1021021021021022,1525.1228571428571
43.0,10300.24,0,6.44,8.0,0,MD,1599.4161490683227,1.2422360248447204,1287.53
41.0,10921.54,0,5.07,3.0,0,DC,2154.1499013806706,0.5917159763313609,3640.513333333334
42.0,10527.52,1,8.42,8.0,0,AZ,1250.2992874109264,0.9501187648456058,1315.94
44.0,8338.05,0,6.57,11.0,0,SC,1269.1095890410957,1.67427701674277,758.0045454545453
36.0,9593.71,0,3.98,6.0,0,CO,2410.479899497487,1.5075376884422111,1598.9516666666666
46.0,11537.69,1,6.37,7.0,0,MS,1811.25431711146,1.0989010989010988,1648.2414285714287
35.0,12936.64,1,3.73,6.0,0,TX,3468.268096514745,1.6085790884718498,2156.1066666666666
40.0,8815.24,0,5.63,9.0,0,KY,1565.7619893428064,1.5985790408525755,979.4711111111111
42.0,12300.94,1,6.89,10.0,0,WA,1785.3323657474602,1.451378809869376,1230.094
35.0,11830.36,1,4.41,6.0,0,TN,2682.6213151927436,1.3605442176870748,1971.7266666666667
36.0,14715.53,1,5.73,9.0,0,NM,2568.155322862129,1.5706806282722512,1635.058888888889
44.0,9214.98,1,6.44,7.0,0,TN,1430.8975155279502,1.0869565217391304,1316.4257142857143
49.0,8092.13,0,6.32,5.0,0,AS,1280.4003164556962,0.7911392405063291,1618.426
41.0,12008.34,1,4.94,7.0,0,CT,2430.8380566801616,1.4170040485829958,1715.4771428571428
38.0,11803.58,1,6.97,6.0,0,NE,1693.4835007173601,0.860832137733142,1967.2633333333333
37.0,13498.28,1,7.06,9.0,0,KS,1911.9376770538245,1.274787535410765,1499.808888888889
46.0,9601.95,0,5.9,9.0,0,TN,1627.449152542373,1.5254237288135593,1066.8833333333334
54.0,13184.51,0,6.04,8.0,0,WY,2182.865894039735,1.3245033112582782,1648.06375
36.0,4690.57,1,5.41,8.0,0,PW,867.0184842883548,1.478743068391867,586.32125
37.0,11416.56,0,6.06,6.0,0,HI,1883.920792079208,0.9900990099009902,1902.76
56.0,9940.54,1,6.57,7.0,0,WI,1513.019786910198,1.06544901065449,1420.077142857143
35.0,13680.25,1,5.79,9.0,0,MH,2362.7374784110534,1.5544041450777202,1520.0277777777778
29.0,5900.78,1,5.56,8.0,0,PR,1061.2913669064749,1.4388489208633095,737.5975
36.0,10339.05,1,6.88,7.0,0,OH,1502.768895348837,1.0174418604651163,1477.0071428571428
46.0,11538.57,1,7.93,10.0,0,NC,1455.0529634300126,1.2610340479192939,1153.857
43.0,7178.92,1,5.32,8.0,0,WV,1349.421052631579,1.5037593984962405,897.365
51.0,8840.51,0,2.7,7.0,0,AA,3274.262962962963,2.5925925925925926,1262.93
47.0,14154.26,0,4.73,9.0,0,AE,2992.443974630021,1.9027484143763211,1572.6955555555555
42.0,10583.76,0,6.51,9.0,0,AR,1625.7695852534564,1.3824884792626728,1175.9733333333334
46.0,11401.63,0,6.13,5.0,0,AP,1859.9722675367045,0.8156606851549756,2280.326
41.0,7495.6,1,6.57,8.0,0,UT,1140.8828006088281,1.21765601217656,936.95
36.0,8878.96,1,4.66,9.0,0,GA,1905.3562231759654,1.9313304721030042,986.551111111111
37.0,11111.59,1,6.0,7.0,0,MA,1851.9316666666666,1.1666666666666667,1587.3700000000001
42.0,8519.64,0,3.99,8.0,0,OR,2135.2481203007515,2.0050125313283207,1064.955
44.0,12361.42,1,3.7,10.0,0,AA,3340.924324324324,2.7027027027027026,1236.142
41.0,9014.9,1,4.45,7.0,0,PW,2025.820224719101,1.5730337078651684,1287.8428571428572
42.0,6081.5,0,3.73,8.0,0,GU,1630.4289544235926,2.1447721179624666,760.1875
43.0,10944.65,1,2.62,9.0,0,WI,4177.347328244275,3.4351145038167936,1216.072222222222
40.0,11764.35,1,5.54,9.0,0,IL,2123.528880866426,1.6245487364620939,1307.15
44.0,12155.91,1,4.11,5.0,0,LA,2957.642335766423,1.21654501216545,2431.182
41.0,11971.75,1,5.38,7.0,0,TN,2225.232342007435,1.3011152416356877,1710.25
41.0,14080.95,1,4.61,7.0,0,AA,3054.4360086767897,1.5184381778741864,2011.564285714286
41.0,6204.86,1,6.08,8.0,0,NH,1020.5361842105262,1.3157894736842106,775.6075
39.0,4994.48,0,5.02,8.0,0,GU,994.9163346613545,1.5936254980079683,624.31
36.0,11047.43,0,5.98,8.0,0,PR,1847.396321070234,1.3377926421404682,1380.92875
40.0,12925.64,0,4.04,7.0,0,GA,3199.4158415841584,1.7326732673267327,1846.52
36.0,8233.25,1,4.35,7.0,0,AZ,1892.7011494252874,1.6091954022988506,1176.1785714285713
39.0,9282.33,0,4.52,11.0,0,MP,2053.6128318584074,2.433628318584071,843.8481818181818
46.0,13383.25,1,5.27,9.0,0,NJ,2539.516129032258,1.7077798861480078,1487.0277777777778
40.0,8911.91,0,6.99,10.0,0,MH,1274.9513590844062,1.4306151645207439,891.191
41.0,8783.13,1,6.2,7.0,0,UT,1416.6338709677418,1.129032258064516,1254.732857142857
35.0,12654.35,0,1.66,7.0,0,MD,7623.1024096385545,4.216867469879518,1807.7642857142857
40.0,6773.23,1,4.29,11.0,0,VI,1578.8414918414917,2.564102564102564,615.7481818181818
31.0,9574.89,0,7.34,8.0,0,NE,1304.4809264305177,1.0899182561307903,1196.86125
45.0,9722.92,1,3.35,8.0,0,MA,2902.3641791044774,2.388059701492537,1215.365
41.0,9516.87,0,4.94,7.0,0,AR,1926.4919028340082,1.4170040485829958,1359.5528571428572
38.0,6638.87,1,5.61,8.0,0,CO,1183.3992869875221,1.4260249554367201,829.85875
30.0,10960.52,1,5.96,9.0,0,AS,1839.013422818792,1.5100671140939597,1217.8355555555556
52.0,11093.87,0,4.38,5.0,0,MS,2532.8470319634707,1.1415525114155252,2218.7740000000003
51.0,10323.07,1,7.03,9.0,0,ME,1468.4310099573256,1.2802275960170697,1147.0077777777778
43.0,15858.91,1,4.51,8.0,0,MS,3516.388026607539,1.7738359201773837,1982.36375
40.0,11309.18,0,4.91,7.0,0,AL,2303.295315682281,1.4256619144602851,1615.597142857143
32.0,12142.99,0,5.01,7.0,0,AZ,2423.750499001996,1.3972055888223553,1734.712857142857
44.0,10965.95,1,4.11,8.0,0,WV,2668.1143552311437,1.94647201946472,1370.74375
51.0,10877.81,1,8.35,8.0,0,SC,1302.7317365269462,0.9580838323353293,1359.72625
38.0,7491.55,0,5.66,12.0,0,FL,1323.595406360424,2.1201413427561837,624.2958333333333
47.0,9324.49,1,4.91,6.0,0,MS,1899.0814663951119,1.2219959266802443,1554.0816666666667
45.0,9034.21,0,6.89,9.0,0,SC,1311.2060957910014,1.3062409288824384,1003.801111111111
54.0,11856.28,0,6.19,8.0,0,AP,1915.3925686591276,1.2924071082390953,1482.035
41.0,9191.02,1,5.89,9.0,0,MA,1560.4448217317488,1.5280135823429541,1021.2244444444445
41.0,10617.16,0,6.26,8.0,0,ID,1696.0319488817893,1.2779552715654952,1327.145
49.0,11321.2,0,4.89,10.0,0,WI,2315.1738241308794,2.044989775051125,1132.1200000000001
41.0,15516.52,0,3.53,10.0,0,AP,4395.614730878187,2.8328611898017,1551.652
52.0,5647.92,0,5.08,8.0,0,MI,1111.7952755905512,1.574803149606299,705.99
30.0,8677.28,1,7.31,7.0,0,VA,1187.042407660739,0.957592339261286,1239.6114285714286
43.0,15423.03,1,2.41,7.0,0,NC,6399.597510373444,2.904564315352697,2203.29
38.0,8097.01,0,4.32,7.0,0,SD,1874.3078703703702,1.6203703703703702,1156.7157142857143
47.0,9148.74,1,6.38,8.0,0,AL,1433.9717868338557,1.2539184952978057,1143.5925
45.0,12374.97,0,4.66,7.0,0,NV,2655.57296137339,1.502145922746781,1767.8528571428571
36.0,8646.72,0,6.33,8.0,0,NJ,1365.990521327014,1.263823064770932,1080.84
53.0,10338.09,1,5.07,7.0,0,TN,2039.0710059171597,1.3806706114398422,1476.8700000000001
38.0,13019.89,1,6.65,8.0,0,DC,1957.8781954887215,1.2030075187969924,1627.48625
41.0,13743.42,0,3.92,9.0,0,IN,3505.9744897959185,2.295918367346939,1527.0466666666666
39.0,8646.2,0,2.94,9.0,0,MN,2940.884353741497,3.061224489795918,960.688888888889
42.0,6523.74,0,2.71,8.0,0,KS,2407.2841328413283,2.952029520295203,815.4675
56.0,8626.48,1,5.07,7.0,0,PA,1701.4753451676527,1.3806706114398422,1232.3542857142857
41.0,5191.08,0,6.29,7.0,0,MD,825.2909379968204,1.1128775834658187,741.5828571428572
38.0,7097.52,1,4.68,6.0,0,SD,1516.5641025641028,1.2820512820512822,1182.92
41.0,13277.82,0,4.84,9.0,0,MN,2743.3512396694214,1.859504132231405,1475.3133333333333
53.0,3263.0,1,2.77,9.0,0,RI,1177.9783393501805,3.2490974729241877,362.55555555555554
52.0,14669.61,0,6.28,9.0,0,WA,2335.9251592356686,1.4331210191082802,1629.9566666666667
47.0,13359.2,1,4.55,8.0,0,SC,2936.087912087912,1.7582417582417582,1669.9
43.0,12078.39,1,6.06,6.0,0,PR,1993.1336633663366,0.9900990099009902,2013.0649999999998
48.0,8513.75,1,8.24,10.0,0,SD,1033.2220873786407,1.2135922330097086,851.375
38.0,9557.2,0,4.47,8.0,0,MI,2138.0760626398214,1.789709172259508,1194.65
44.0,6517.22,0,4.55,12.0,0,ME,1432.356043956044,2.6373626373626373,543.1016666666667
40.0,4762.81,1,5.12,10.0,0,OK,930.2363281250001,1.953125,476.28100000000006
45.0,6452.83,1,4.41,6.0,0,AP,1463.2267573696145,1.3605442176870748,1075.4716666666666
31.0,8688.21,0,3.58,7.0,0,NE,2426.874301675977,1.9553072625698324,1241.172857142857
32.0,12254.75,1,5.32,9.0,0,AK,2303.5244360902257,1.6917293233082706,1361.638888888889
39.0,5914.3,1,2.3,9.0,0,NJ,2571.434782608696,3.91304347826087,657.1444444444445
45.0,11486.53,1,5.5,7.0,0,AL,2088.46,1.2727272727272727,1640.9328571428573
51.0,6114.85,1,4.7,9.0,0,RI,1301.031914893617,1.9148936170212765,679.4277777777778
52.0,11828.78,0,5.95,10.0,0,AA,1988.0302521008405,1.680672268907563,1182.8780000000002
35.0,10166.67,0,4.65,10.0,0,AP,2186.38064516129,2.150537634408602,1016.667
43.0,12691.45,0,4.45,11.0,0,WA,2852.0112359550562,2.4719101123595504,1153.7681818181818
45.0,9903.78,1,5.31,9.0,0,DC,1865.1186440677968,1.6949152542372883,1100.42
46.0,10363.63,0,5.84,10.0,0,AE,1774.5941780821918,1.7123287671232876,1036.3629999999998
35.0,8475.8,0,3.37,11.0,0,MP,2515.074183976261,3.264094955489614,770.5272727272727
39.0,13091.92,1,4.74,9.0,0,UT,2762.008438818565,1.8987341772151898,1454.6577777777777
37.0,13036.52,1,3.83,6.0,0,ME,3403.7911227154045,1.566579634464752,2172.7533333333336
40.0,9521.35,0,5.8,9.0,0,GA,1641.6120689655174,1.5517241379310345,1057.927777777778
37.0,5039.46,0,4.08,8.0,0,GU,1235.1617647058824,1.9607843137254901,629.9325
51.0,13762.79,0,7.52,9.0,0,PA,1830.1582446808513,1.196808510638298,1529.198888888889
46.0,8941.92,1,5.43,9.0,0,MI,1646.7624309392265,1.6574585635359116,993.5466666666666
32.0,12479.72,0,4.67,8.0,0,MH,2672.3169164882224,1.7130620985010707,1559.965
41.0,9139.73,1,5.15,10.0,0,FM,1774.7048543689318,1.9417475728155338,913.973
46.0,10406.58,0,7.24,11.0,0,MN,1437.3729281767955,1.5193370165745856,946.0527272727272
44.0,11768.65,0,5.54,7.0,0,GU,2124.3050541516245,1.263537906137184,1681.2357142857143
46.0,14664.0,0,6.54,8.0,0,MN,2242.201834862385,1.2232415902140672,1833.0
46.0,8418.81,1,7.19,6.0,0,AR,1170.905424200278,0.8344923504867872,1403.135
34.0,6461.86,1,4.61,8.0,0,OK,1401.7049891540128,1.7353579175704987,807.7325
39.0,14317.2,0,5.03,7.0,0,MA,2846.361829025845,1.3916500994035785,2045.314285714286
42.0,4492.44,1,6.43,9.0,0,WV,698.6687402799378,1.3996889580093312,499.15999999999997
29.0,13240.01,1,4.58,6.0,0,PR,2890.8318777292575,1.3100436681222707,2206.6683333333335
35.0,7814.68,1,5.99,9.0,0,HI,1304.6210350584306,1.5025041736227045,868.2977777777778
35.0,11255.38,0,6.28,4.0,0,FM,1792.2579617834392,0.6369426751592356,2813.845
49.0,13165.68,0,5.49,9.0,0,IA,2398.120218579235,1.639344262295082,1462.8533333333335
37.0,12713.9,0,9.15,8.0,0,AE,1389.4972677595626,0.8743169398907104,1589.2375
40.0,11527.08,1,5.04,8.0,0,AE,2287.1190476190477,1.5873015873015872,1440.885
54.0,8375.73,1,4.42,7.0,0,CT,1894.9615384615383,1.583710407239819,1196.532857142857
41.0,11968.78,0,5.08,6.0,0,TN,2356.0590551181103,1.1811023622047243,1994.7966666666669
48.0,7761.2,0,7.02,9.0,0,AE,1105.5840455840457,1.2820512820512822,862.3555555555555
32.0,6367.22,1,2.84,10.0,0,CT,2241.978873239437,3.5211267605633805,636.722
44.0,7599.36,1,6.41,6.0,0,MH,1185.547581903276,0.9360374414976599,1266.56
40.0,7642.2,0,5.04,9.0,0,AR,1516.3095238095239,1.7857142857142858,849.1333333333333
38.0,11621.67,1,6.11,9.0,0,VT,1902.0736497545008,1.4729950900163666,1291.2966666666666
47.0,9365.92,1,4.37,5.0,0,NH,2143.2311212814643,1.1441647597254003,1873.184
29.0,12711.15,0,5.74,7.0,0,KY,2214.48606271777,1.2195121951219512,1815.8785714285714
55.0,8243.28,0,3.54,6.0,0,OK,2328.6101694915255,1.694915254237288,1373.88
51.0,10269.97,1,4.85,8.0,0,AR,2117.519587628866,1.6494845360824744,1283.74625
38.0,13366.66,1,5.64,7.0,0,VA,2369.9751773049647,1.2411347517730498,1909.5228571428572
40.0,12401.58,1,5.75,9.0,0,AE,2156.7965217391306,1.565217391304348,1377.9533333333334
43.0,8950.33,0,6.76,9.0,0,GU,1324.0133136094676,1.3313609467455623,994.4811111111111
41.0,10806.13,1,4.0,6.0,0,ID,2701.5325,1.5,1801.0216666666665
38.0,7713.12,1,5.41,9.0,0,AA,1425.7153419593344,1.6635859519408502,857.0133333333333
40.0,12455.75,1,6.64,9.0,0,WA,1875.8659638554218,1.355421686746988,1383.9722222222222
33.0,7492.9,0,6.71,7.0,0,FL,1116.6766020864382,1.0432190760059612,1070.4142857142856
43.0,12068.39,1,3.59,7.0,0,AK,3361.6685236768803,1.9498607242339834,1724.0557142857142
40.0,7837.67,1,5.66,11.0,0,WA,1384.7473498233214,1.9434628975265018,712.5154545454545
45.0,9721.59,0,3.43,9.0,0,IL,2834.282798833819,2.6239067055393583,1080.1766666666667
41.0,10028.23,1,5.52,9.0,0,OR,1816.7083333333335,1.6304347826086958,1114.2477777777776
34.0,10466.56,0,5.34,7.0,0,KY,1960.0299625468165,1.3108614232209739,1495.222857142857
36.0,12879.7,0,4.7,9.0,0,IA,2740.3617021276596,1.9148936170212765,1431.0777777777778
49.0,13078.28,1,4.06,8.0,0,HI,3221.251231527094,1.9704433497536948,1634.785
